data_filename,num_context_layers,embedding_size,batch_size,mode,gpu,attempts,final_returncode,status,ckpt_path,log_path,best_val_loss,best_val_top10,best_val_top25,best_val_top50,best_test_loss,best_test_top10,best_test_top25,best_test_top50,best_triadic,best_epoch
meta-llama/Llama-3.1-8B_embeddings_last_5turns,3,64,2048,combined,3,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=meta-llama-llama-3-1-8b-embeddings-last-5turns__mode=combined__ctx=3__emb=64__bs=2048.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=meta-llama-llama-3-1-8b-embeddings-last-5turns__mode=combined__ctx=3__emb=64__bs=2048.log,6.676,0.464,0.697,0.89,6.959,0.414,0.672,0.874,0.764,13
meta-llama/Llama-3.1-8B_embeddings_last_5turns,3,128,1024,combined,1,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=meta-llama-llama-3-1-8b-embeddings-last-5turns__mode=combined__ctx=3__emb=128__bs=1024.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=meta-llama-llama-3-1-8b-embeddings-last-5turns__mode=combined__ctx=3__emb=128__bs=1024.log,6.158,0.462,0.701,0.887,6.497,0.386,0.64,0.853,0.743,8
meta-llama/Llama-3.1-8B_embeddings_last_5turns,3,64,4096,combined,5,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=meta-llama-llama-3-1-8b-embeddings-last-5turns__mode=combined__ctx=3__emb=64__bs=4096.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=meta-llama-llama-3-1-8b-embeddings-last-5turns__mode=combined__ctx=3__emb=64__bs=4096.log,7.432,0.459,0.706,0.893,7.561,0.439,0.694,0.891,0.767,18
meta-llama/Llama-3.1-8B_embeddings_last_5turns,4,64,2048,combined,3,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=meta-llama-llama-3-1-8b-embeddings-last-5turns__mode=combined__ctx=4__emb=64__bs=2048.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=meta-llama-llama-3-1-8b-embeddings-last-5turns__mode=combined__ctx=4__emb=64__bs=2048.log,6.686,0.458,0.702,0.892,6.974,0.409,0.668,0.876,0.75,20
meta-llama/Llama-3.1-8B_embeddings_last_5turns,4,128,4096,combined,5,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=meta-llama-llama-3-1-8b-embeddings-last-5turns__mode=combined__ctx=4__emb=128__bs=4096.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=meta-llama-llama-3-1-8b-embeddings-last-5turns__mode=combined__ctx=4__emb=128__bs=4096.log,7.477,0.457,0.7,0.891,7.604,0.433,0.688,0.888,0.743,19
meta-llama/Llama-3.1-8B_embeddings_last_5turns,3,128,2048,combined,3,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=meta-llama-llama-3-1-8b-embeddings-last-5turns__mode=combined__ctx=3__emb=128__bs=2048.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=meta-llama-llama-3-1-8b-embeddings-last-5turns__mode=combined__ctx=3__emb=128__bs=2048.log,6.664,0.456,0.696,0.892,6.932,0.417,0.674,0.874,0.743,9
Qwen/Qwen2.5-7B_embeddings_last_5turns,3,64,2048,combined,3,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=qwen-qwen2-5-7b-embeddings-last-5turns__mode=combined__ctx=3__emb=64__bs=2048.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=qwen-qwen2-5-7b-embeddings-last-5turns__mode=combined__ctx=3__emb=64__bs=2048.log,6.677,0.456,0.706,0.891,6.958,0.409,0.67,0.874,0.729,13
meta-llama/Llama-3.1-8B_embeddings_last_5turns,3,64,1024,combined,1,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=meta-llama-llama-3-1-8b-embeddings-last-5turns__mode=combined__ctx=3__emb=64__bs=1024.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=meta-llama-llama-3-1-8b-embeddings-last-5turns__mode=combined__ctx=3__emb=64__bs=1024.log,6.149,0.456,0.705,0.888,6.496,0.386,0.639,0.859,0.753,10
meta-llama/Llama-3.1-8B_embeddings_last_5turns,4,128,1024,combined,1,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=meta-llama-llama-3-1-8b-embeddings-last-5turns__mode=combined__ctx=4__emb=128__bs=1024.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=meta-llama-llama-3-1-8b-embeddings-last-5turns__mode=combined__ctx=4__emb=128__bs=1024.log,6.16,0.456,0.703,0.885,6.492,0.379,0.642,0.853,0.75,9
meta-llama/Llama-3.1-8B_embeddings_last_5turns,3,128,4096,combined,5,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=meta-llama-llama-3-1-8b-embeddings-last-5turns__mode=combined__ctx=3__emb=128__bs=4096.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=meta-llama-llama-3-1-8b-embeddings-last-5turns__mode=combined__ctx=3__emb=128__bs=4096.log,7.478,0.455,0.693,0.887,7.593,0.444,0.692,0.883,0.747,19
meta-llama/Llama-3.1-8B_embeddings_last_5turns,4,64,4096,combined,5,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=meta-llama-llama-3-1-8b-embeddings-last-5turns__mode=combined__ctx=4__emb=64__bs=4096.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=meta-llama-llama-3-1-8b-embeddings-last-5turns__mode=combined__ctx=4__emb=64__bs=4096.log,7.433,0.455,0.699,0.891,7.561,0.44,0.689,0.888,0.743,18
meta-llama/Llama-3.1-8B_embeddings_last_5turns,2,64,2048,combined,3,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=meta-llama-llama-3-1-8b-embeddings-last-5turns__mode=combined__ctx=2__emb=64__bs=2048.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=meta-llama-llama-3-1-8b-embeddings-last-5turns__mode=combined__ctx=2__emb=64__bs=2048.log,6.733,0.455,0.693,0.886,7.002,0.41,0.67,0.871,0.75,18
meta-llama/Llama-3.1-8B_embeddings_last_5turns,2,64,4096,combined,5,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=meta-llama-llama-3-1-8b-embeddings-last-5turns__mode=combined__ctx=2__emb=64__bs=4096.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=meta-llama-llama-3-1-8b-embeddings-last-5turns__mode=combined__ctx=2__emb=64__bs=4096.log,7.446,0.454,0.697,0.892,7.569,0.441,0.693,0.885,0.743,15
meta-llama/Llama-3.1-8B_embeddings_last_5turns,2,64,1024,combined,1,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=meta-llama-llama-3-1-8b-embeddings-last-5turns__mode=combined__ctx=2__emb=64__bs=1024.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=meta-llama-llama-3-1-8b-embeddings-last-5turns__mode=combined__ctx=2__emb=64__bs=1024.log,6.147,0.454,0.698,0.889,6.484,0.386,0.642,0.853,0.75,6
meta-llama/Llama-3.1-8B_embeddings_last_5turns,2,128,4096,combined,5,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=meta-llama-llama-3-1-8b-embeddings-last-5turns__mode=combined__ctx=2__emb=128__bs=4096.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=meta-llama-llama-3-1-8b-embeddings-last-5turns__mode=combined__ctx=2__emb=128__bs=4096.log,7.45,0.453,0.698,0.888,7.572,0.434,0.683,0.884,0.76,17
