data_filename,num_context_layers,embedding_size,batch_size,mode,gpu,attempts,final_returncode,status,ckpt_path,log_path,best_val_loss,best_val_top10,best_val_top25,best_val_top50,best_test_loss,best_test_top10,best_test_top25,best_test_top50,best_triadic,best_epoch
llama3.1-8b-bc_slash-best_embeddings_last_5turns,3,64,4096,combined,5,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=3__emb=64__bs=4096.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=3__emb=64__bs=4096.log,7.233,0.521,0.754,0.916,7.401,0.498,0.739,0.909,0.764,20
llama3.1-8b-bc_slash-best_embeddings_last_5turns,2,64,1024,combined,5,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=2__emb=64__bs=1024.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=2__emb=64__bs=1024.log,5.952,0.52,0.752,0.913,6.369,0.43,0.686,0.876,0.75,8
llama3.1-8b-bc_slash-best_embeddings_last_5turns,2,64,4096,combined,2,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=2__emb=64__bs=4096.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=2__emb=64__bs=4096.log,7.239,0.519,0.748,0.915,7.399,0.499,0.74,0.909,0.736,14
llama3.1-8b-bc_slash-best_embeddings_last_5turns,3,128,1024,combined,2,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=3__emb=128__bs=1024.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=3__emb=128__bs=1024.log,5.966,0.519,0.746,0.913,6.37,0.432,0.685,0.883,0.753,7
gemma3-4b-bc-split-1_embeddings_last_5turns,4,128,2048,combined,7,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-5turns__mode=combined__ctx=4__emb=128__bs=2048.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-5turns__mode=combined__ctx=4__emb=128__bs=2048.log,6.464,0.518,0.745,0.912,6.81,0.456,0.711,0.897,0.753,18
llama3.1-8b-bc_slash-best_embeddings_last_5turns,4,128,4096,combined,2,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=4__emb=128__bs=4096.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=4__emb=128__bs=4096.log,7.237,0.517,0.749,0.915,7.391,0.499,0.742,0.91,0.722,19
llama3.1-8b-bc_slash-best_embeddings_last_5turns,2,64,2048,combined,7,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=2__emb=64__bs=2048.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=2__emb=64__bs=2048.log,6.501,0.517,0.746,0.913,6.841,0.461,0.71,0.896,0.753,12
llama3.1-8b-bc_slash-best_embeddings_last_5turns,4,256,2048,combined,1,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=4__emb=256__bs=2048.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=4__emb=256__bs=2048.log,6.497,0.517,0.748,0.91,6.855,0.456,0.705,0.895,0.764,17
llama3.1-8b-bc_slash-best_embeddings_last_5turns,3,64,2048,combined,1,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=3__emb=64__bs=2048.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=3__emb=64__bs=2048.log,6.492,0.516,0.747,0.915,6.823,0.468,0.713,0.899,0.774,15
llama3.1-8b-bc_slash-best_embeddings_last_5turns,4,128,2048,combined,7,1,0,OK,sweeps_w_test_sets_5turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=4__emb=128__bs=2048.pth,sweeps_w_test_sets_5turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-5turns__mode=combined__ctx=4__emb=128__bs=2048.log,6.511,0.516,0.744,0.913,6.843,0.462,0.714,0.897,0.757,17
