dataset,file,label,dim_polarity,dim_surprisal,dim_energy,dim_PCA1,dim_PCA2,dim_PCA3,dim_UMAP1,dim_UMAP2,dim_pitch_length,dim_pitch_range,dim_pitch_mean
FiCa,fica/spontC_213_yeah.wav,yeah,3.572,2.897,3.488,0.318,-0.286,-0.140,7.755,3.165,37,5.828,96.052
FiCa,fica/spontB_328_yeah.wav,yeah,3.517,3.037,3.183,0.327,-0.125,0.042,6.834,2.112,39,3.385,93.954
FiCa,fica/spontC_128_uh-huh.wav,uh-huh,3.357,2.787,3.488,-0.285,-0.346,-0.199,-1.803,2.646,26,0.617,95.339
FiCa,fica/spontE_288_yeah.wav,yeah,3.082,3.032,3.065,0.142,-0.113,-0.168,-1.953,5.695,43,3.687,96.541
FiCa,fica/sun_036_absolutely.wav,absolutely,3.966,2.413,3.299,-0.198,-0.107,0.296,13.220,10.964,61,2.095,94.745
FiCa,fica/spontA_277_uh-huh.wav,uh-huh,3.464,3.417,3.564,-0.324,-0.135,-0.571,-3.057,6.632,33,3.878,95.691
FiCa,fica/spontF_641_yeah.wav,yeah,3.152,2.780,2.974,-0.067,0.103,-0.316,-1.607,4.982,36,0.571,93.869
FiCa,fica/spontA_068_mhm.wav,mhm,3.136,3.021,3.287,-0.358,-0.318,-0.147,-1.957,4.628,38,3.019,96.635
FiCa,fica/spontA_316_yeah.wav,yeah,3.185,2.497,2.694,0.419,0.099,-0.004,7.301,2.841,28,2.703,92.845
FiCa,fica/PS_036_uh-huh.wav,uh-huh,3.594,3.064,3.486,-0.327,-0.312,-0.152,-1.890,3.324,70,6.568,93.316
FiCa,fica/spontC_499_mhm.wav,mhm,2.941,2.327,2.829,-0.476,-0.152,0.170,-1.485,3.629,47,2.945,92.903
FiCa,fica/spontA_437_yeah.wav,yeah,3.796,3.127,3.745,0.213,-0.446,0.126,7.912,2.045,50,3.998,94.385
FiCa,fica/sun_028_right.wav,right,3.306,2.333,2.727,-0.252,0.207,0.147,6.552,9.518,51,2.453,92.965
