subject_id,convo_id,context_text,fb0_name,fb1_name,fb2_name,context_matching_feedback,best_pair,energy_polarity_surprisal
67916c33af88f19622f13e04,fe_03_01983_0_346,the temptation is there so somehow there should be like a a balance and check system going here i think,fe_03_01983,fe_03_04279,fe_03_03644,"{'fb0.wav': '5', 'fb1.wav': '4', 'fb2.wav': '2'}","{'fb2.wav', 'fb0.wav'}","{'fb0.wav': {'energy': '5', 'polarity': '5', 'surprisal': '5'}, 'fb1.wav': {'energy': '4', 'polarity': '4', 'surprisal': '5'}, 'fb2.wav': {'energy': '3', 'polarity': '3', 'surprisal': '5'}}"
67916c33af88f19622f13e04,fe_03_05080_1_98,uhm but i haven't flown in the last few months maybe six months i don't normally fly a whole lot,fe_03_05080,fe_03_02136,fe_03_00708,"{'fb0.wav': '5', 'fb1.wav': '5', 'fb2.wav': '2'}","{'fb1.wav', 'fb0.wav'}","{'fb0.wav': {'energy': '5', 'polarity': '5', 'surprisal': '5'}, 'fb1.wav': {'energy': '5', 'polarity': '5', 'surprisal': '5'}, 'fb2.wav': {'energy': '3', 'polarity': '3', 'surprisal': '3'}}"
67916c33af88f19622f13e04,fe_03_00363_0_129,uh tryna think of the last movie i saw um well actually last night we watched a dvd it was uh the importance of being ernest,fe_03_00363,fe_03_01163,fe_03_01351,"{'fb0.wav': '5', 'fb1.wav': '4', 'fb2.wav': '3'}","{'fb1.wav', 'fb0.wav'}","{'fb0.wav': {'energy': '5', 'polarity': '5', 'surprisal': '5'}, 'fb1.wav': {'energy': '5', 'polarity': '4', 'surprisal': '5'}, 'fb2.wav': {'energy': '5', 'polarity': '5', 'surprisal': '4'}}"
67916c33af88f19622f13e04,fe_03_01699_1_564,weren't there were not as many casualties of war as um in other wars,fe_03_01699,fe_03_04680,fe_03_00998,"{'fb0.wav': '3', 'fb1.wav': '5', 'fb2.wav': '3'}","{'fb1.wav', 'fb0.wav'}","{'fb0.wav': {'energy': '3', 'polarity': '3', 'surprisal': '3'}, 'fb1.wav': {'energy': '5', 'polarity': '5', 'surprisal': '5'}, 'fb2.wav': {'energy': '3', 'polarity': '3', 'surprisal': '3'}}"
67916c33af88f19622f13e04,fe_03_04493_0_64,right the only problem um that i've seen like seems like around the country right now is just the financial situation that they're all in um you know we've i know here in the south we've had a lot of teacher layoffs uhm because of cutbacks in the budget and that kind of thing,fe_03_04493,fe_03_02602,fe_03_00792,"{'fb0.wav': '3', 'fb1.wav': '4', 'fb2.wav': '5'}","{'fb2.wav', 'fb1.wav'}","{'fb0.wav': {'energy': '3', 'polarity': '3', 'surprisal': '3'}, 'fb1.wav': {'energy': '4', 'polarity': '4', 'surprisal': '4'}, 'fb2.wav': {'energy': '5', 'polarity': '5', 'surprisal': '5'}}"
67916c33af88f19622f13e04,fe_03_02545_1_571,yeah and cause she cause i used her code and so she's gonna get money for for me signing up ah you know and completing studies too,fe_03_02545,fe_03_01884,fe_03_05402,"{'fb0.wav': '4', 'fb1.wav': '5', 'fb2.wav': '4'}","{'fb1.wav', 'fb0.wav'}","{'fb0.wav': {'energy': '5', 'polarity': '5', 'surprisal': '5'}, 'fb1.wav': {'energy': '5', 'polarity': '5', 'surprisal': '5'}, 'fb2.wav': {'energy': '4', 'polarity': '4', 'surprisal': '4'}}"
67916c33af88f19622f13e04,fe_03_04537_1_255,yeah oh yeah because i mean well you know we get we get a lot of uh there there's a good spread of people there more than i thought would be um we get a lot of a lot of a lot of students from out of the country,fe_03_04537,fe_03_03531,fe_03_05213,"{'fb0.wav': '4', 'fb1.wav': '5', 'fb2.wav': '4'}","{'fb2.wav', 'fb1.wav'}","{'fb0.wav': {'energy': '4', 'polarity': '4', 'surprisal': '4'}, 'fb1.wav': {'energy': '5', 'polarity': '5', 'surprisal': '5'}, 'fb2.wav': {'energy': '4', 'polarity': '4', 'surprisal': '4'}}"
67916c33af88f19622f13e04,fe_03_01262_1_498,but ah pretty soon pretty soon we'll be down to only four i have well we're down to five right now i have one that's serving a a mission for the mormon church in chicago,fe_03_01262,fe_03_03244,fe_03_00573,"{'fb0.wav': '4', 'fb1.wav': '5', 'fb2.wav': '5'}","{'fb2.wav', 'fb1.wav'}","{'fb0.wav': {'energy': '4', 'polarity': '4', 'surprisal': '4'}, 'fb1.wav': {'energy': '5', 'polarity': '5', 'surprisal': '5'}, 'fb2.wav': {'energy': '5', 'polarity': '5', 'surprisal': '5'}}"
67916c33af88f19622f13e04,fe_03_00821_1_183,yeah so i'm much better to yeah to follow your own heart as opposed to listening to somebody else,fe_03_00821,fe_03_01419,fe_03_05581,"{'fb0.wav': '5', 'fb1.wav': '5', 'fb2.wav': '5'}","{'fb1.wav', 'fb0.wav'}","{'fb0.wav': {'energy': '5', 'polarity': '5', 'surprisal': '5'}, 'fb1.wav': {'energy': '4', 'polarity': '5', 'surprisal': '4'}, 'fb2.wav': {'energy': '5', 'polarity': '5', 'surprisal': '5'}}"
67916c33af88f19622f13e04,fe_03_01737_1_588,you know for payroll and for um i don't know they have like they do their little reports on how well they're doing,fe_03_01737,fe_03_03322,fe_03_01133,"{'fb0.wav': '5', 'fb1.wav': '3', 'fb2.wav': '5'}","{'fb2.wav', 'fb1.wav'}","{'fb0.wav': {'energy': '5', 'polarity': '5', 'surprisal': '5'}, 'fb1.wav': {'energy': '3', 'polarity': '5', 'surprisal': '3'}, 'fb2.wav': {'energy': '5', 'polarity': '5', 'surprisal': '5'}}"
